rango;ENVASES_t;DDD_T;PRECIO_T;AS;VALOR;POB_TOTAL;total POBLACION;POBLACION CONSUMIDORA;PREVALENCIA;PREVALENCIA_Calculada;Total_ENVASES_Rango;Total_DDD_T_Rango;Total_PRECIO_T_Rango;Total_POB_TOTAL_Rango
De 0 a 14;26630;220794,7132;226575,07;AS I: Badajoz;49,33667911;12261;12261;4511;36,79145257;36,79145257;120038;863853,909;930866,9;46637
De 15 a 64;37695;185520,9149;177117,11;AS I: Badajoz;2,969216853;171182;171182;55296;32,30246171;32,30246171;143060;868331,3622;847000,87;665395
De 65 a 74;38604;299074,9979;374118,2;AS I: Badajoz;28,76241069;28488;28488;11167;39,19896097;39,19896097;197875;1543102,101;1987639,92;126768
De 75 más;111837;1029870,044;835042,39;AS I: Badajoz;65,92588062;42799;42799;21048;49,17871913;49,17871913;468716;4296571,493;3570368,51;184269
TOTAL J01;214766;1735260,67;1612852,77;AS I: Badajoz;18,66344295;254730;254730;92022;36,12530915;36,12530915;929689;7571858,865;7335876,2;1023069
De 0 a 14;137112;671171,1802;665240,95;Extremadura;39,46230769;46597;46597;16561;35,54091465;35,54091465;120038;863853,909;930866,9;46637
De 15 a 64;468704;4296558,826;3570399,9;Extremadura;17,69495828;665240;665240;225215;33,85469906;33,85469906;143060;868331,3622;847000,87;665395
De 65 a 74;125987;1061003,924;1112661,21;Extremadura;22,96732957;126565;126565;51765;40,89993284;40,89993284;197875;1543102,101;1987639,92;126768
De 75 más;197842;1542852,768;1987361,8;Extremadura;22,94423725;184229;184229;90978;49,38310472;49,38310472;468716;4296571,493;3570368,51;184269
TOTAL J01;929645;7571586,699;7335663,86;Extremadura;20,28500324;1022631;1022631;384519;37,60095284;37,60095284;929689;7571858,865;7335876,2;1023069
